股票,市场,名称,行业,行业模型,核心指标,PE,PB,10年ROE,ROE波动,5年平均FCF,资产负债率,商誉占比,利息覆盖倍数,分红稳定性,5年营收CAGR,数据年数,缺失字段数,数据质量分,数据质量,杠杆风险,结果,分数,规则质量评级,规则质量分,质量理由,原因,AI评级,AI置信度,AI理由,AI风险,AI关注点,AI模型,规则AI分歧,综合观察
300624,CN,万兴科技,-,科技,营收增长、自由现金流、研发投入效率,-68.21,13.41,9.5%,13.8%,-,38.2%,-,-,未分红/不适用,10.5%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300625,CN,三雄极光,-,通用,ROE、现金流、资产负债率,-32.41,1.73,9.6%,10.8%,-,33.7%,-,-,未分红/不适用,-9.6%,10,10,100,High,未知,警惕,85,谨慎观察,52,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300626,CN,华瑞股份,-,通用,ROE、现金流、资产负债率,205.58,10.52,-2.1%,23.1%,-,40.0%,-,-,未分红/不适用,-4.4%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；长期ROE低于5%,,,,,,,未评估,暂无AI独立评估
300627,CN,华测导航,-,通用,ROE、现金流、资产负债率,48.29,6.03,18.9%,6.8%,-,30.5%,-,-,未分红/不适用,18.1%,10,10,100,High,未知,通过,100,优质候选,100,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,优质候选,High,10年ROE均值18.9%，波动仅6.8%，盈利能力强且稳定；近5年无亏损、经营现金流持续为正，财务健康；营收5年CAGR 18.1%，增长稳健；资产负债率30.5%较低，财务风险小。,未分红可能影响部分投资者偏好；商誉占比和利息覆盖倍数数据缺失，需关注潜在隐性负债或并购风险；行业竞争加剧可能影响增长持续性。,关注未来分红政策变化；补充商誉及利息覆盖数据；跟踪营收增长趋势及行业竞争格局。,deepseek-chat,否,规则质量评级与AI评级一致
300628,CN,亿联网络,-,通用,ROE、现金流、资产负债率,18.82,4.95,32.7%,13.7%,-,12.8%,-,-,未分红/不适用,13.1%,10,10,100,High,未知,警惕,85,优质候选,89,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
300629,CN,新劲刚,-,通用,ROE、现金流、资产负债率,157.84,3.82,6.7%,5.6%,-,16.0%,-,-,未分红/不适用,2.1%,10,10,100,High,未知,警惕,70,排除,28,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长处于可接受区间,10年净利润波动较大；长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
300631,CN,久吾高科,-,通用,ROE、现金流、资产负债率,54.23,2.53,7.5%,3.0%,-,32.9%,-,-,未分红/不适用,4.1%,10,10,100,High,未知,警惕,85,可跟踪,69,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
300632,CN,光莆股份,-,通用,ROE、现金流、资产负债率,3549.78,6.92,3.1%,27.9%,-,33.9%,-,-,未分红/不适用,-5.6%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300633,CN,开立医疗,-,通用,ROE、现金流、资产负债率,-211.33,3.01,12.4%,8.3%,-,26.0%,-,-,未分红/不适用,12.4%,10,10,100,High,未知,通过,100,可跟踪,83,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300634,CN,彩讯股份,-,通用,ROE、现金流、资产负债率,130.17,4.32,11.6%,2.8%,-,13.8%,-,-,未分红/不适用,19.8%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300635,CN,中达安,-,通用,ROE、现金流、资产负债率,354.92,6.88,4.0%,25.0%,-,72.6%,-,-,未分红/不适用,-0.6%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
300636,CN,同和药业,-,通用,ROE、现金流、资产负债率,40.48,1.28,8.6%,5.2%,-,28.8%,-,-,未分红/不适用,8.8%,10,10,100,High,未知,通过,100,优质候选,89,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300637,CN,扬帆新材,-,通用,ROE、现金流、资产负债率,-219.09,3.96,22.1%,33.0%,-,45.4%,-,-,未分红/不适用,6.3%,10,10,100,High,未知,警惕,70,谨慎观察,60,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300638,CN,广和通,-,通用,ROE、现金流、资产负债率,568.43,3.52,20.5%,6.9%,-,35.3%,-,-,未分红/不适用,14.2%,10,10,100,High,未知,通过,100,可跟踪,83,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300639,CN,凯普生物,-,通用,ROE、现金流、资产负债率,-377.98,1.11,13.3%,16.2%,-,11.7%,-,-,未分红/不适用,-29.3%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年ROE波动较大；10年净利润波动较大；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
300640,CN,德艺文创,-,通用,ROE、现金流、资产负债率,473.55,3.02,11.6%,12.1%,-,26.5%,-,-,未分红/不适用,6.9%,10,10,100,High,未知,警惕,85,谨慎观察,55,数据质量高；长期ROE达到行业基本线；ROE波动偏大；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大,,,,,,,未评估,暂无AI独立评估
300641,CN,正丹股份,-,通用,ROE、现金流、资产负债率,30.45,2.50,20.3%,22.0%,-,3.9%,-,-,未分红/不适用,6.8%,10,10,100,High,未知,警惕,70,可跟踪,81,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300642,CN,透景生命,-,通用,ROE、现金流、资产负债率,-114.29,1.81,15.2%,11.0%,-,28.0%,-,-,未分红/不适用,-13.7%,10,10,100,High,未知,警惕,85,可跟踪,87,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300644,CN,南京聚隆,-,通用,ROE、现金流、资产负债率,30.07,2.87,9.6%,5.8%,-,58.8%,-,-,未分红/不适用,14.6%,10,10,100,High,未知,通过,100,谨慎观察,52,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流多次为负；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300645,CN,正元智慧,-,通用,ROE、现金流、资产负债率,-47.50,2.13,6.6%,4.0%,-,54.9%,-,-,未分红/不适用,8.6%,10,10,100,High,未知,通过,100,可跟踪,71,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300647,CN,超频三,-,通用,ROE、现金流、资产负债率,90.64,7.37,-8.4%,21.8%,-,78.9%,-,-,未分红/不适用,5.0%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
300648,CN,星云股份,-,通用,ROE、现金流、资产负债率,-140.51,7.77,16.6%,35.4%,-,56.6%,-,-,未分红/不适用,4.2%,10,10,100,High,未知,排除,30,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300649,CN,杭州园林,-,通用,ROE、现金流、资产负债率,-74.91,6.39,6.8%,9.5%,-,47.2%,-,-,未分红/不适用,-34.0%,10,10,100,High,未知,排除,45,排除,20,规则排雷已判定存在硬伤,10年净利润波动较大；近5年营收明显下滑,,,,,,,未评估,暂无AI独立评估
300650,CN,太龙股份,-,通用,ROE、现金流、资产负债率,127.41,2.73,9.2%,5.9%,-,40.2%,-,-,未分红/不适用,-14.2%,10,10,100,High,未知,警惕,85,可跟踪,73,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300651,CN,金陵体育,-,通用,ROE、现金流、资产负债率,1699.16,3.40,6.6%,3.1%,-,18.5%,-,-,未分红/不适用,-6.5%,10,10,100,High,未知,警惕,70,谨慎观察,55,数据质量高；长期ROE低于行业基本线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,长期ROE偏低但PE不低；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300652,CN,雷迪克,-,通用,ROE、现金流、资产负债率,60.28,4.17,11.8%,6.0%,-,25.4%,-,-,未分红/不适用,15.3%,10,10,100,High,未知,通过,100,可跟踪,69,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,-,,,,,,,未评估,暂无AI独立评估
300653,CN,正海生物,-,通用,ROE、现金流、资产负债率,52.23,3.41,18.3%,4.1%,-,9.7%,-,-,未分红/不适用,-2.3%,10,10,100,High,未知,通过,100,可跟踪,87,数据质量高；长期ROE达到行业优秀线；ROE稳定性较好；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,-,,,,,,,未评估,暂无AI独立评估
300654,CN,世纪天鸿,-,通用,ROE、现金流、资产负债率,186.05,4.83,7.1%,3.0%,-,23.4%,-,-,未分红/不适用,5.4%,10,10,100,High,未知,警惕,85,可跟踪,69,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；近5年无亏损；经营现金流存在瑕疵；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,长期ROE偏低但PE不低,,,,,,,未评估,暂无AI独立评估
300655,CN,晶瑞电材,-,通用,ROE、现金流、资产负债率,686.26,7.14,14.7%,24.0%,-,27.9%,-,-,未分红/不适用,-3.2%,10,10,100,High,未知,警惕,70,排除,44,数据质量高；长期ROE达到行业优秀线；ROE波动偏大；净利润波动偏大；近5年出现亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长偏弱,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300656,CN,民德电子,-,科技,营收增长、自由现金流、研发投入效率,-50.56,6.18,7.8%,12.6%,-,58.6%,-,-,未分红/不适用,-13.7%,10,10,100,High,未知,警惕,40,排除,39,数据质量高；长期ROE达到行业基本线；ROE稳定性较好；净利润波动偏大；科技/成长公司有亏损记录，需看亏损是否收窄；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率高于行业舒适区；营收增长偏弱,科技公司营收增长转负；10年ROE波动较大；10年净利润波动较大；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
300657,CN,弘信电子,-,科技,营收增长、自由现金流、研发投入效率,167.45,17.88,2.8%,18.2%,-,79.8%,-,-,未分红/不适用,22.9%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；资产负债率偏高,,,,,,,未评估,暂无AI独立评估
300658,CN,延江股份,-,通用,ROE、现金流、资产负债率,36.97,3.44,11.9%,14.4%,-,51.7%,-,-,未分红/不适用,8.6%,10,10,100,High,未知,警惕,70,可跟踪,75,数据质量高；长期ROE达到行业基本线；ROE波动偏大；近5年无亏损；近5年经营现金流持续为正；自由现金流数据缺失，评级保守；资产负债率符合行业语境；营收增长达到行业较好水平,10年ROE波动较大；10年净利润波动较大,,,,,,,未评估,暂无AI独立评估
300659,CN,中孚信息,-,通用,ROE、现金流、资产负债率,-10.43,2.84,5.0%,21.0%,-,31.7%,-,-,未分红/不适用,-13.1%,10,10,100,High,未知,排除,0,排除,20,规则排雷已判定存在硬伤,10年内亏损年份过多；10年ROE波动较大；10年净利润波动较大；长期ROE低于5%；近5年营收增长偏弱,,,,,,,未评估,暂无AI独立评估
